# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.9362313203793076,4.9410963561510455,-0.05310512948204482,0,6.7,-0.10026625972389297,0.0,0.0,0.0
 0.0738612277883321,1.9545071737800415,4.941079417000424,-0.05310512948204482,0.4948702261818251,6.7,-0.10026625972389297,0.0,-3.428008583173678,0.0
 0.10453614166476133,1.9728393890593088,4.941028780715942,-0.15825899753855757,0.700392149153901,6.700000000000003,-0.09855142217028813,0.0,-4.394414242180925,0.0
 0.1281279337435362,1.9912272212581188,4.940944719048684,-0.26193110464809705,0.8584571560816927,6.700000000000001,-0.09687464957115638,0.0,-5.127855757187996,0.0
 0.14806135018580172,2.00966992541748,4.940827503749724,-0.3641467889119941,0.9920110462448716,6.6999999999999975,-0.09523484840903604,0.0,-5.72626063764764,0.0
 0.1656616652840014,2.0281667565784014,4.940677406570146,-0.4649307804690104,1.1099331574028093,6.699999999999994,-0.09363096116508936,0.0,-6.231964888513621,0.0
 0.18160791007764437,2.0467169697818925,4.940494699261028,-0.5643072181266365,1.2167729975202173,6.7,-0.09206196465223065,0.0,-6.668350359163694,0.0
 0.19630306583629997,2.065319820068961,4.940279653573448,-0.662299665307834,1.3152305411032097,6.699999999999994,-0.09052686893784648,0.0,-7.0501145778553,0.0
 0.2100094331865557,2.083974562480617,4.940032541258488,-0.758931125573312,1.4070632023499232,6.7000000000000055,-0.08902471612340036,0.0,-7.387286757886515,0.0
 0.22290901799996415,2.102680452057869,4.939753634067226,-0.8542240576476381,1.49349042059976,6.700000000000008,-0.08755457911449069,0.0,-7.687113566409491,0.0
 0.23513419607967467,2.121436743841725,4.939443203750741,-0.9482003899159528,1.5753991137338204,6.699999999999998,-0.08611556032976467,0.0,-7.955057225717768,0.0
 0.24678479041053705,2.1402426928731955,4.939101522060113,-1.040881534531586,1.6534580957505982,6.699999999999992,-0.08470679093137448,0.0,-8.195371003769267,0.0
 0.25793826551844734,2.1590975541932886,4.938728860746422,-1.1322884010222163,1.728186378973597,6.699999999999982,-0.08332742936952563,0.0,-8.411453244167154,0.0
 0.2686561528877197,2.1780005828430133,4.938325491560748,-1.2224414095051006,1.7999962243477219,6.700000000000004,-0.08197666069423265,0.0,-8.606076528940543,0.0
 0.27898828201577835,2.1969510338633786,4.9378916862541695,-1.3113605034880689,1.8692214895057147,6.699999999999987,-0.08065369552164772,0.0,-8.781542249059203,0.0
 0.28897566876838654,2.2159481622953927,4.9374277165777665,-1.399065162213792,1.9361369807481896,6.7000000000000135,-0.0793577688347174,0.0,-8.939788493006615,0.0
 0.29865254765228444,2.234991223180065,4.936933854282618,-1.485574412708281,2.0009720692703055,6.69999999999999,-0.07808813952825333,0.0,-9.082467520846254,0.0
 0.3080478390165007,2.254079471558405,4.936410371119804,-1.5709068413726623,2.0639205214105543,6.699999999999998,-0.07684408929597665,0.0,-9.211002800837107,0.0
 0.31718623205781366,2.273212162471421,4.935857538840403,-1.6550806052713465,2.1251477547873514,6.700000000000022,-0.07562492170283602,0.0,-9.32663188185984,0.0
 0.32608899983149053,2.2923885509601223,4.935275629195496,-1.7381134430261156,2.1847962988709866,6.700000000000011,-0.07442996155810613,0.0,-9.43043923657853,0.0
 0.3347746230918069,2.311607892065517,4.93466491393616,-1.820022685414342,2.242989974715106,6.69999999999999,-0.0732585543414018,0.0,-9.523381820392201,0.0
 0.3432592750465302,2.330869440828615,4.934025664813479,-1.9008252655923092,2.2998371428117523,6.700000000000008,-0.07211006498668937,0.0,-9.606309271495125,0.0
 0.35155720312972755,2.350172452290425,4.933358153578529,-1.9805377290721278,2.3554332609691744,6.699999999999978,-0.07098387749577881,0.0,-9.679980056698513,0.0
 0.35968103332015594,2.3695161814919543,4.932662651982389,-2.05917624329948,2.4098629232450444,6.699999999999968,-0.06987939428767775,0.0,-9.745074559476219,0.0
 0.3676420153769082,2.388899883474214,4.931939431776141,-2.136756607009183,2.4632015030252847,6.700000000000016,-0.06879603532015782,0.0,-9.802205780571374,0.0
 0.37545022242723985,2.4083228132782124,4.931188764710863,-2.213294259293842,2.515516490262507,6.700000000000023,-0.06773323791283786,0.0,-9.851928168545669,0.0
 0.38311471487473797,2.427784225944958,4.930410922537634,-2.2888042883349544,2.566868589660744,6.699999999999984,-0.06669045546415142,0.0,-9.894744989565783,0.0
 0.3906436761220072,2.44728337651546,4.9296061770075355,-2.3633014399130063,2.617312630017448,6.700000000000031,-0.06566715742462252,0.0,-9.931114515411796,0.0
 0.3980445258104902,2.4668195200307266,4.928774799871645,-2.436800125680681,2.6668983229302845,6.700000000000013,-0.06466282872145314,0.0,-9.961455246416694,0.0
 0.4053240149651192,2.486391911531768,4.9279170628810425,-2.5093144311112936,2.715670900266299,6.700000000000036,-0.06367696871131401,0.0,-9.986150376729325,0.0
 0.4124883064544037,2.5059998060595916,4.927033237786809,-2.5808581232660104,2.763671653244505,6.699999999999995,-0.06270909143741171,0.0,-10.005551613570765,0.0
 0.41954304344221466,2.5256424586552084,4.926123596340022,-2.6514446583177196,2.8109383910628383,6.699999999999966,-0.06175872427395955,0.0,-10.019982466191154,0.0
 0.42649340794972773,2.545319124359625,4.925188410291762,-2.721087188816638,2.8575058332631755,6.699999999999952,-0.0608254082378345,0.0,-10.029741102167117,0.0
